j,n,d,k,value,positive
8,2,11,5,15025932272375009/110592,True
8,2,11,6,1870638707802128623/196608,True
8,2,11,7,1985554917768393011471/3538944,True
8,2,11,8,1071690119792446638488323/37748736,True
8,3,12,0,1,True
8,3,12,1,519,True
8,3,12,2,2128959/16,True
8,3,12,3,1436916109/64,True
8,3,12,4,1434758558319/512,True
8,3,12,5,423367455757181/1536,True
8,3,12,6,68270649660810493/3072,True
8,3,12,7,2316763792142274869/1536,True
8,3,12,8,8631521491307774802299/98304,True
8,4,13,0,1,True
8,4,13,1,1175/2,True
8,4,13,2,5455527/32,True
8,4,13,3,12501185405/384,True
8,4,13,4,56492498517911/12288,True
8,4,13,5,523764388240353/1024,True
8,4,13,6,1528034221102566415/32768,True
8,4,13,7,527486196218890723753/147456,True
8,4,13,8,246698336477054766911065/1048576,True
8,5,14,0,1,True
8,5,14,1,656,True
8,5,14,2,6800801/32,True
8,5,14,3,17394487747/384,True
8,5,14,4,21928921793443/3072,True
8,5,14,5,6123806147070941/6912,True
8,5,14,6,8854858919293145395/98304,True
8,5,14,7,27260140838808499373731/3538944,True
8,5,14,8,2996623307714609823158209/5308416,True
8,6,15,0,1,True
8,6,15,1,1449/2,True
8,6,15,2,2073435/8,True
8,6,15,3,3903109063/64,True
8,6,15,4,43446438056427/4096,True
8,6,15,5,5949717121668971/4096,True
8,6,15,6,32026477700001808205/196608,True
8,6,15,7,2013195785171484594805/131072,True
8,6,15,8,5203631299351866000812983/4194304,True
8,7,16,0,1,True
8,7,16,1,793,True
8,7,16,2,1241793/4,True
8,7,16,3,7672733999/96,True
8,7,16,4,1459706578435/96,True
8,7,16,5,291459862467151/128,True
8,7,16,6,3430229775080125493/12288,True
8,7,16,7,471292932591544942561/16384,True
8,7,16,8,748592388454791651268271/294912,True
8,8,17,0,1,True
8,8,17,1,1723/2,True
8,8,17,2,11722613/32,True
8,8,17,3,39328583299/384,True
8,8,17,4,259947653053411/12288,True
8,8,17,5,95070239870458493/27648,True
8,8,17,6,1873684355384801649/4096,True
8,8,17,7,3770102453735330998907/73728,True
8,8,17,8,207816028134648340542364393/42467328,True
